time_us,clock,reset_n,enable,sram_0_out,inv1_dout1,inv1_dout2,inv1_dout3,inv1_dout4,inv2_vin1,inv2_vout1,inv2_vin2,inv2_vout2,counter2_value0,counter2_value1,counter2_value2,counter2_value3,counter2_value4,counter2_value5,counter2_value6,counter2_value7,counter1_value4_inv1_din1,counter1_value5_inv1_din2
1.020000000000000073e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199310239999999878e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501281730000000092e-01,5.345534240000000548e-01,7.502563260000000289e-01,5.319422919999999833e-01,3.280001509999999953e+00,4.199316519999999729e-09,4.199316519999999729e-09,4.199316519999999729e-09,4.199316519999999729e-09,4.199316519999999729e-09,4.199316519999999729e-09,4.199316519999999729e-09,4.293883550000000370e-09,4.293886120000000031e-09
1.020700000000000079e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199313549999999941e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501282609999999629e-01,5.345505430000000446e-01,7.502565020000000473e-01,5.319365510000000352e-01,3.280077089999999806e+00,4.199318389999999995e-09,4.199318389999999995e-09,4.199318389999999995e-09,4.199318389999999995e-09,4.199318389999999995e-09,4.199318389999999995e-09,4.199318389999999995e-09,4.293883939999999833e-09,4.293883879999999979e-09
1.022099999999999918e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199317920000000176e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501284369999999813e-01,5.345447800000000527e-01,7.502568530000000013e-01,5.319250660000000019e-01,3.280393609999999960e+00,4.199314920000000047e-09,4.199314920000000047e-09,4.199314920000000047e-09,4.199314920000000047e-09,4.199314920000000047e-09,4.199314920000000047e-09,4.199314920000000047e-09,4.293885109999999875e-09,4.293886499999999656e-09
1.024899999999999943e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199316829999999663e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501287890000000180e-01,5.345332470000000447e-01,7.502575569999999638e-01,5.319020840000000527e-01,3.281368080000000020e+00,4.199317460000000195e-09,4.199317460000000195e-09,4.199317460000000195e-09,4.199317460000000195e-09,4.199317460000000195e-09,4.199317460000000195e-09,4.199317460000000195e-09,4.293890790000000362e-09,4.293884080000000043e-09
1.030499999999999992e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199313240000000007e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501294929999999805e-01,5.345101580000000130e-01,7.502589640000000282e-01,5.318560730000000403e-01,3.283388379999999884e+00,4.199317620000000080e-09,4.199317620000000080e-09,4.199317620000000080e-09,4.199317620000000080e-09,4.199317620000000080e-09,4.199317620000000080e-09,4.199317620000000080e-09,4.293888279999999727e-09,4.293885929999999805e-09
1.041699999999999918e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199316650000000102e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501309000000000449e-01,5.344638809999999740e-01,7.502617780000000458e-01,5.317638630000000033e-01,3.286241570000000056e+00,4.199320949999999818e-09,4.199320949999999818e-09,4.199320949999999818e-09,4.199320949999999818e-09,4.199320949999999818e-09,4.199320949999999818e-09,4.199320949999999818e-09,4.293891400000000391e-09,4.293888059999999988e-09
1.064100000000000115e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320060000000196e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501337150000000342e-01,5.343709500000000112e-01,7.502674059999999701e-01,5.315787189999999773e-01,3.289271230000000212e+00,4.199319679999999744e-09,4.199319679999999744e-09,4.199319679999999744e-09,4.199319679999999744e-09,4.199319679999999744e-09,4.199319679999999744e-09,4.199319679999999744e-09,4.293885679999999726e-09,4.293885839999999611e-09
1.094094909999999976e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199314450000000228e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501374840000000210e-01,5.342457600000000140e-01,7.502749410000000285e-01,5.313293650000000534e-01,3.291820679999999832e+00,4.199316390000000184e-09,4.199316390000000184e-09,4.199316390000000184e-09,4.199316390000000184e-09,4.199316390000000184e-09,4.199316390000000184e-09,4.199316390000000184e-09,4.293885209999999907e-09,4.293884249999999766e-09
1.154084730000000045e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199318640000000074e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501450210000000229e-01,5.339930400000000299e-01,7.502900120000000062e-01,5.308262059999999671e-01,3.296216429999999864e+00,4.199321669999999717e-09,4.199321669999999717e-09,4.199321669999999717e-09,4.199321669999999717e-09,4.199321669999999717e-09,4.199321669999999717e-09,4.199321669999999717e-09,4.293882840000000309e-09,4.293882380000000328e-09
1.237894739999999966e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199323909999999769e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501555519999999477e-01,5.336354180000000280e-01,7.503110670000000537e-01,5.301146789999999775e-01,3.299515720000000041e+00,4.199318759999999782e-09,4.199318759999999782e-09,4.199318759999999782e-09,4.199318759999999782e-09,4.199318759999999782e-09,4.199318759999999782e-09,4.199318759999999782e-09,4.293883279999999788e-09,4.293883289999999625e-09
1.325715260000000055e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319080000000380e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501665870000000513e-01,5.332558630000000521e-01,7.503331269999999886e-01,5.293601629999999947e-01,3.300373439999999992e+00,4.199323930000000272e-09,4.199323930000000272e-09,4.199323930000000272e-09,4.199323930000000272e-09,4.199323930000000272e-09,4.199323930000000272e-09,4.199323930000000272e-09,4.293886770000000238e-09,4.293886930000000124e-09
1.488695620000000074e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199319869999999970e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.501870640000000146e-01,5.325416889999999848e-01,7.503740629999999801e-01,5.279423570000000288e-01,3.300354490000000141e+00,4.199317620000000080e-09,4.199317620000000080e-09,4.199317620000000080e-09,4.199317620000000080e-09,4.199317620000000080e-09,4.199317620000000080e-09,4.199317620000000080e-09,4.293885889999999627e-09,4.293885879999999789e-09
1.744347809999999971e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320930000000143e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.502191839999999834e-01,5.314045649999999954e-01,7.504382619999999671e-01,5.256903229999999594e-01,3.300084879999999998e+00,4.199319569999999875e-09,4.199319569999999875e-09,4.199319569999999875e-09,4.199319569999999875e-09,4.199319569999999875e-09,4.199319569999999875e-09,4.199319569999999875e-09,4.293884209999999588e-09,4.293884409999999652e-09
2.000000000000000042e-02,0.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199318769999999620e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.502513010000000371e-01,5.302545570000000152e-01,7.505024430000000191e-01,5.234185860000000190e-01,3.299998640000000094e+00,4.199319690000000409e-09,4.199319690000000409e-09,4.199319690000000409e-09,4.199319690000000409e-09,4.199319690000000409e-09,4.199319690000000409e-09,4.199319690000000409e-09,4.293884630000000218e-09,4.293884580000000202e-09
2.001000000000000001e-02,3.300000000000000155e-01,3.299999999999999822e+00,3.299999999999999822e+00,4.199321140000000044e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.502514270000000263e-01,5.302500430000000042e-01,7.505026940000000257e-01,5.234097039999999756e-01,3.299998640000000094e+00,4.199320680000000063e-09,4.199320680000000063e-09,4.199320680000000063e-09,4.199320680000000063e-09,4.199320680000000063e-09,4.199320680000000063e-09,4.199320680000000063e-09,4.293882369999999663e-09,4.293886019999999999e-09
2.003000000000000266e-02,9.899999999999999911e-01,3.299999999999999822e+00,3.299999999999999822e+00,4.199320710000000403e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.502516780000000329e-01,5.302410140000000105e-01,7.505031960000000391e-01,5.233919299999999497e-01,3.299998669999999912e+00,4.199314350000000196e-09,4.199314350000000196e-09,4.199314350000000196e-09,4.199314350000000196e-09,4.199314350000000196e-09,4.199314350000000196e-09,4.199314350000000196e-09,4.293882080000000232e-09,4.293885340000000279e-09
2.006500000000000297e-02,2.145000000000000018e+00,3.299999999999999822e+00,3.299999999999999822e+00,4.199320770000000257e-09,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.299999999999999822e+00,7.502521180000000234e-01,5.302252079999999479e-01,7.505040750000000482e-01,5.233608100000000096e-01,3.299998739999999930e+00,4.199312300000000370e-09,4.199312300000000370e-09,4.199312300000000370e-09,4.199312300000000370e-09,4.199312300000000370e-09,4.199312300000000370e-09,4.199312300000000370e-09,4.293889310000000386e-09,4.293890250000000024e-09
